descriptor_train,descriptor_dev,descriptor_eval,FAR_test,FRR_test,HTER,EER,training_time
SIFT,SIFT,SIFT,0.5202193283070596,0.536938309215537,0.5285788187612983,0.48162280410153546,0.2466433048248291
LPQ,LPQ,LPQ,0.4375,0.47619047619047616,0.4568452380952381,0.2577648083172209,219.77326035499573
UniLBP,UniLBP,UniLBP,0.1875,0.5238095238095238,0.3556547619047619,0.3036241711571355,303.1561026573181
RI-CoALBP,RI-CoALBP,RI-CoALBP,0.0,0.9523809523809523,0.47619047619047616,0.4443335816131897,676.8103361129761
BSIF,BSIF,BSIF,0.25,0.5238095238095238,0.3869047619047619,0.5,1801.1125321388245
RI-LBP,RI-LBP,RI-LBP,0.125,0.5238095238095238,0.3244047619047619,0.255405049792926,618.5766201019287
CoALBP,CoALBP,CoALBP,0.125,0.2857142857142857,0.20535714285714285,0.3643139771814199,9.819906234741211
