descriptor_train,FAR_test,FRR_test,HTER,EER,training_time
BSIF,0.5,0.7142857142857143,0.6071428571428572,0.00014114233,470.5093321800232
LPQ,0.5,0.38095238095238093,0.44047619047619047,4.4858643e-05,403.06101083755493
RI-LBP,0.4375,0.5238095238095238,0.4806547619047619,4.2725056e-05,130.96014714241028
UniLBP,0.5625,0.5714285714285714,0.5669642857142857,9.892645e-05,97.81104278564453
CoALBP,0.0,0.6190476190476191,0.30952380952380953,0.20348388,102.3892035484314
RI-CoALBP,0.25,0.6666666666666666,0.4583333333333333,0.14006236,101.21731615066528
