descriptor_train,descriptor_dev,descriptor_eval,FAR_test,FRR_test,HTER,EER,training_time
SIFT,SIFT,SIFT,0.5536480686695279,0.553072625698324,0.5533603471839259,0.4885337408946218,0.6190452575683594
LPQ,LPQ,LPQ,0.32455089820359284,0.32663316582914576,0.3255920320163693,0.25632474081855067,279.8381824493408
UniLBP,UniLBP,UniLBP,0.26107784431137726,0.2613065326633166,0.26119218848734693,0.3122291939393075,270.6965491771698
RI-CoALBP,RI-CoALBP,RI-CoALBP,0.21976047904191617,0.2185929648241206,0.2191767219330184,0.4505960023947997,834.6702079772949
BSIF,BSIF,BSIF,0.22335329341317364,0.22110552763819097,0.2222294105256823,0.49014492512210733,2507.807180404663
RI-LBP,RI-LBP,RI-LBP,0.25329341317365267,0.2537688442211055,0.2535311286973791,0.2499356560540135,245.6642186641693
CoALBP,CoALBP,CoALBP,0.2245508982035928,0.2236180904522613,0.22408449432792704,0.362759733426608,1.5743129253387451
