descriptor_train,FAR_test,FRR_test,HTER,EER,training_time
BSIF,0.5,0.6190476190476191,0.5595238095238095,3.52256e-05,200.18560814857483
LPQ,0.375,0.5714285714285714,0.4732142857142857,0.00030893835,167.67764949798584
RI-LBP,0.5,0.38095238095238093,0.44047619047619047,7.640691e-06,167.46181535720825
UniLBP,0.4375,0.6666666666666666,0.5520833333333333,0.00025634666,455.0395007133484
CoALBP,0.0,0.5714285714285714,0.2857142857142857,0.26995724,409.59821248054504
RI-CoALBP,0.25,0.6666666666666666,0.4583333333333333,0.24081029,167.42014265060425
